name,realizable,ltl_model_build_time,model_build_time,composition_time,synthesis_time,diagnosis_time,alphabet_size,guarantees_count,assumptions_count,plant_states,plant_transitions,plant_controllable_transitions,minimization_states,minimization_transitions,minimization_controllable_transitions,search_method,diagnosis_steps,diagnosis_times,diagnosis_sizes
Genbuf_1,true,0.00972,0.000419,0,0.002809,0,44,3,2,146,273,185,0,0,0,DD,0,[],[]
Genbuf_1,true,0.007938,0.000211,0,0.002117,0,44,3,2,146,273,185,0,0,0,DD,0,[],[]
Genbuf_1,true,0.005069,0.000161,0,0.002101,0,44,3,2,146,273,185,0,0,0,DD,0,[],[]
Genbuf_1,true,0.005118,0.00018,0,0.003193,0,44,3,2,146,273,185,0,0,0,DD,0,[],[]
Genbuf_1,true,0.00524,0.000171,0,0.001995,0,44,3,2,146,273,185,0,0,0,DD,0,[],[]
Genbuf_2,true,0.417643,0.012138,0,0.19571,0,76,4,4,7958,28706,22673,0,0,0,DD,0,[],[]
Genbuf_2,true,0.409005,0.011958,0,0.19095,0,76,4,4,7958,28706,22673,0,0,0,DD,0,[],[]
Genbuf_2,true,0.422101,0.012812,0,0.206375,0,76,4,4,7958,28706,22673,0,0,0,DD,0,[],[]
Genbuf_2,true,0.410922,0.014216,0,0.193773,0,76,4,4,7958,28706,22673,0,0,0,DD,0,[],[]
Genbuf_2,true,0.410727,0.012255,0,0.238689,0,76,4,4,7958,28706,22673,0,0,0,DD,0,[],[]
Genbuf_3,true,6.480282,0.946088,0,7.450555,0,92,5,4,73366,528650,470313,0,0,0,DD,0,[],[]
Genbuf_3,true,5.390549,0.543117,0,6.161435,0,92,5,4,73366,528650,470313,0,0,0,DD,0,[],[]
Genbuf_3,true,5.294545,0.537938,0,6.182784,0,92,5,4,73366,528650,470313,0,0,0,DD,0,[],[]
Genbuf_3,true,5.297403,0.548096,0,6.28108,0,92,5,4,73366,528650,470313,0,0,0,DD,0,[],[]
Genbuf_3,true,5.296088,0.5552,0,6.252804,0,92,5,4,73366,528650,470313,0,0,0,DD,0,[],[]
Genbuf_4,true,48.921385,5.193305,0,60.96932,0,104,6,4,372034,3549314,3240641,0,0,0,DD,0,[],[]
Genbuf_4,true,48.894043,5.057222,0,60.530174,0,104,6,4,372034,3549314,3240641,0,0,0,DD,0,[],[]
Genbuf_4,true,47.377466,5.066356,0,60.403029,0,104,6,4,372034,3549314,3240641,0,0,0,DD,0,[],[]
Genbuf_4,true,47.009174,5.046014,0,60.8553,0,104,6,4,372034,3549314,3240641,0,0,0,DD,0,[],[]
Genbuf_4,true,46.098878,4.845031,0,58.627834,0,104,6,4,372034,3549314,3240641,0,0,0,DD,0,[],[]
