name,realizable,ltl_model_build_time,model_build_time,composition_time,synthesis_time,diagnosis_time,alphabet_size,guarantees_count,assumptions_count,plant_states,plant_transitions,plant_controllable_transitions,minimiztion_states,minimization_transitions,minimization_controllable_transitions,search_method,diagnosis_steps
collector_1_in_v1_missing_assumption,false,0.007705,0.000626,0,0,0.012998,12,1,1,22,42,29,22,4,2,DD,4
collector_1_in_v1_missing_assumption,false,0.005924,0.00051,0,0,0.006309,12,1,1,22,42,29,22,4,2,DD,4
collector_1_in_v1_missing_assumption,false,0.002884,0.000463,0,0,0.006089,12,1,1,22,42,29,22,4,2,DD,4
collector_1_in_v1_missing_assumption,false,0.002864,0.000131,0,0,0.002808,12,1,1,22,42,29,22,4,2,DD,4
collector_1_in_v1_missing_assumption,false,0.003203,0.000201,0,0,0.004262,12,1,1,22,42,29,22,4,2,DD,4
collector_1_in_v1_missing_assumption,false,0.001727,0.000106,0,0,0.002264,12,1,1,22,42,29,22,4,2,DD,4
collector_1_in_v1_missing_assumption,false,0.001707,0.000135,0,0,0.002507,12,1,1,22,42,29,22,4,2,DD,4
collector_2_in_v1_missing_assumption,false,0.001953,0.000205,0,0,0.031867,20,1,1,114,282,201,114,10,5,DD,16
collector_2_in_v1_missing_assumption,false,0.001594,0.000189,0,0,0.028255,20,1,1,114,282,201,114,10,5,DD,16
collector_2_in_v1_missing_assumption,false,0.001256,0.000195,0,0,0.029924,20,1,1,114,282,201,114,10,5,DD,16
collector_3_in_v1_missing_assumption,false,0.002636,0.000933,0,0,0.073932,28,1,2,706,2034,1457,706,14,7,DD,20
collector_3_in_v1_missing_assumption,false,0.002817,0.001077,0,0,0.104455,28,1,2,706,2034,1457,706,14,7,DD,20
collector_3_in_v1_missing_assumption,false,0.004675,0.001783,0,0,0.171207,28,1,2,706,2034,1457,706,14,7,DD,20
collector_4_in_v1_missing_assumption,false,0.035951,0.017379,0,0,2.885828,36,1,3,4866,15138,10785,4866,10,5,DD,37
collector_4_in_v1_missing_assumption,false,0.033399,0.020068,0,0,2.82124,36,1,3,4866,15138,10785,4866,10,5,DD,37
collector_4_in_v1_missing_assumption,false,0.064937,0.026128,0,0,2.682467,36,1,3,4866,15138,10785,4866,10,5,DD,37
collector_5_in_v1_missing_assumption,false,0.264983,0.201514,0,0,18.172,48,1,4,35842,114882,81089,35842,8,4,DD,43
collector_5_in_v1_missing_assumption,false,0.25368,0.171533,0,0,16.01891,48,1,4,35842,114882,81089,35842,8,4,DD,43
collector_5_in_v1_missing_assumption,false,0.337882,0.210798,0,0,16.759876,48,1,4,35842,114882,81089,35842,8,4,DD,43
exploration-robot-v1_6_missing_assumption,false,1E-06,0.005392,0,0,0.033333,13,2,1,99,361,325,99,30,23,DD,2
exploration-robot-v1_6_missing_assumption,false,1E-06,0.007334,0,0,0.038307,13,2,1,99,361,325,99,30,23,DD,2
exploration-robot-v1_6_missing_assumption,false,1E-06,0.002889,0,0,0.016609,13,2,1,99,361,325,99,30,23,DD,2
exploration-robot-v1_6_missing_assumption,false,1E-06,0.001497,0,0,0.008584,13,2,1,99,361,325,99,30,23,DD,2
exploration-robot-v1_6_missing_assumption,false,0,0.001361,0,0,0.010023,13,2,1,99,361,325,99,30,23,DD,2
exploration-robot-v1_6_missing_assumption,false,1E-06,0.000876,0,0,0.006135,13,2,1,99,361,325,99,30,23,DD,2
exploration-robot-v1_6_missing_assumption,false,1E-06,0.000928,0,0,0.00672,13,2,1,99,361,325,99,30,23,DD,2
exploration-robot-v1_9_missing_assumption,false,0,0.001941,0,0,0.069526,9,2,1,201,774,720,201,116,107,DD,6
exploration-robot-v1_9_missing_assumption,false,1E-06,0.004286,0,0,0.091047,9,2,1,201,774,720,201,116,107,DD,6
exploration-robot-v1_9_missing_assumption,false,1E-06,0.005398,0,0,0.104628,9,2,1,201,774,720,201,116,107,DD,6
exploration-robot-v1_12_missing_assumption,false,1E-06,0.006451,0,0,0.359493,9,2,1,339,1320,1248,339,202,190,DD,6
exploration-robot-v1_12_missing_assumption,false,0,0.007128,0,0,0.347309,9,2,1,339,1320,1248,339,202,190,DD,6
exploration-robot-v1_12_missing_assumption,false,0,0.006679,0,0,0.353466,9,2,1,339,1320,1248,339,202,190,DD,6
exploration-robot-v1_15_missing_assumption,false,0,0.019647,0,0,0.211699,9,2,1,513,2010,1920,513,365,350,DD,2
exploration-robot-v1_15_missing_assumption,false,0,0.013734,0,0,0.204103,9,2,1,513,2010,1920,513,365,350,DD,2
exploration-robot-v1_15_missing_assumption,false,0,0.011466,0,0,0.203698,9,2,1,513,2010,1920,513,365,350,DD,2
exploration-robot-v1_18_missing_assumption,false,1E-06,0.018717,0,0,0.382587,9,2,1,723,2844,2736,723,512,493,DD,2
exploration-robot-v1_18_missing_assumption,false,1E-06,0.026328,0,0,0.415376,9,2,1,723,2844,2736,723,512,493,DD,2
exploration-robot-v1_18_missing_assumption,false,0,0.026012,0,0,0.384369,9,2,1,723,2844,2736,723,512,493,DD,2
exploration-robot-v1_21_missing_assumption,false,0,0.036008,0,0,3.175662,9,2,1,969,3822,3696,969,775,754,DD,7
exploration-robot-v1_21_missing_assumption,false,0,0.037075,0,0,2.877972,9,2,1,969,3822,3696,969,775,754,DD,7
exploration-robot-v1_21_missing_assumption,false,1E-06,0.074924,0,0,3.056123,9,2,1,969,3822,3696,969,775,754,DD,7
