filename, automaton_name, states_count, transitions_count, mean_delta_s, variance_delta_s, total_signals, mean_signals_t, variance_signals_t, controllable_options, mean_controllable_options, variance_controllable_options
/tmp/ahb_arbiter_2_sched_env.diag,ENV,57,805,14.122807,61.288221,2221,2.759006,1.411999,441,0.547826,60.688081
/tmp/ahb_arbiter_2_sched_env_intrlvd.diag,ENV_INTRLVD,1927,3395,1.761806,1.745107,3395,1.000000,0.000000,2591,0.763181,2.395838
/tmp/ahb_arbiter_2_sched_env_seq.diag,ENV_SEQ,1645,2393,1.454711,1.332023,2393,1.000000,0.000000,2029,0.847890,2.204125
/tmp/ahb_arbiter_3_sched_env.diag,ENV,321,11393,35.492210,672.369470,47745,4.190731,2.029015,4993,0.438252,245.669001
/tmp/ahb_arbiter_3_sched_env_intrlvd.diag,ENV_INTRLVD,43411,91475,2.107185,2.286811,91475,1.000000,0.000000,53523,0.585111,1.761132
/tmp/ahb_arbiter_3_sched_env_seq.diag,ENV_SEQ,25299,36371,1.437646,1.376446,36371,1.000000,0.000000,29971,0.824036,1.984719
/tmp/ahb_arbiter_4_sched_env.diag,ENV,1665,143425,86.141144,5409.091245,797761,5.562217,2.588751,51713,0.360558,982.077457
/tmp/ahb_arbiter_4_sched_env_intrlvd.diag,ENV_INTRLVD,846835,2132419,2.518105,2.614240,2132419,1.000000,0.000000,978419,0.458831,1.380937
/tmp/ahb_arbiter_4_sched_env_seq.diag,ENV_SEQ,325667,467427,1.435291,1.381782,467427,1.000000,0.000000,375715,0.803794,1.870749
/tmp/collector_1_in_v1.fsp.game.diag,ENV,7,23,3.285714,2.904762,27,1.173913,0.877470,12,0.521739,2.556711
/tmp/collector_1_in_v1.fsp.game_intrlvd.diag,ENV_INTRLVD,41,61,1.487805,1.329056,61,1.000000,0.000000,46,0.754098,1.446936
/tmp/collector_1_in_v1.fsp.game_seq.diag,ENV_SEQ,39,55,1.410256,1.182245,55,1.000000,0.000000,44,0.800000,1.545263
/tmp/collector_2_in_v1.fsp.game.diag,ENV,21,135,6.428571,14.857143,263,1.948148,1.362963,74,0.548148,13.125490
/tmp/collector_2_in_v1.fsp.game_intrlvd.diag,ENV_INTRLVD,289,480,1.660900,1.531873,480,1.000000,0.000000,359,0.747917,1.810067
/tmp/collector_2_in_v1.fsp.game_seq.diag,ENV_SEQ,265,379,1.430189,1.189634,379,1.000000,0.000000,318,0.839050,1.766418
/tmp/collector_3_in_v1.fsp.game.diag,ENV,73,881,12.068493,71.453577,2360,2.678774,1.811469,540,0.612940,57.931850
/tmp/collector_3_in_v1.fsp.game_intrlvd.diag,ENV_INTRLVD,2303,4137,1.796353,1.752233,4137,1.000000,0.000000,3098,0.748852,2.287204
/tmp/collector_3_in_v1.fsp.game_seq.diag,ENV_SEQ,2021,2829,1.399802,1.163920,2829,1.000000,0.000000,2488,0.879463,2.008482
/tmp/collector_4_in_v1.fsp.game.diag,ENV,273,6099,22.340660,326.313672,20637,3.383669,2.234866,4178,0.685030,243.019249
/tmp/collector_4_in_v1.fsp.game_intrlvd.diag,ENV_INTRLVD,19525,37394,1.915186,1.992457,37394,1.000000,0.000000,27825,0.744103,2.723611
/tmp/collector_4_in_v1.fsp.game_seq.diag,ENV_SEQ,16101,21927,1.361841,1.125259,21927,1.000000,0.000000,20006,0.912391,2.193199
/tmp/collector_5_in_v1.fsp.game.diag,ENV,1057,43913,41.544937,1431.619427,179086,4.078200,2.639084,33012,0.751759,996.454507
/tmp/collector_5_in_v1.fsp.game_intrlvd.diag,ENV_INTRLVD,172031,348603,2.026397,2.247659,348603,1.000000,0.000000,254356,0.729644,3.067040
/tmp/collector_5_in_v1.fsp.game_seq.diag,ENV_SEQ,130845,173701,1.327533,1.080924,173701,1.000000,0.000000,162800,0.937243,2.311762
/tmp/collector_6_in_v1.fsp.game.diag,ENV,4161,328523,78.952896,7124.192973,1571065,4.782207,3.045321,263117,0.800909,4041.435161
/tmp/collector_6_in_v1.fsp.game_intrlvd.diag,ENV_INTRLVD,1562762,3341788,2.138386,2.514630,3341788,1.000000,0.000000,2351300,0.703605,3.306697
/tmp/collector_6_in_v1.fsp.game_seq.diag,ENV_SEQ,1078168,1402530,1.300846,1.040972,1402530,1.000000,0.000000,1337124,0.953366,2.378663
/tmp/exploration-robot-v1_100.fsp.game.diag,PLANT,20003,79209,3.959856,0.039434,79209,1.000000,0.000000,79209,1.000000,15.720678
/tmp/exploration-robot-v1_100.fsp.game_intrlvd.diag,ENV_INTRLVD,178421,237627,1.331833,1.269766,237627,1.000000,0.000000,237627,1.000000,3.430552
/tmp/exploration-robot-v1_100.fsp.game_seq.diag,ENV_SEQ,178421,237627,1.331833,1.269766,237627,1.000000,0.000000,237627,1.000000,3.430552
/tmp/exploration-robot-v1_10.fsp.game.diag,PLANT,203,729,3.591133,0.332000,729,1.000000,0.000000,729,1.000000,13.292079
/tmp/exploration-robot-v1_10.fsp.game_intrlvd.diag,ENV_INTRLVD,1661,2187,1.316677,1.195321,2187,1.000000,0.000000,2187,1.000000,3.300602
/tmp/exploration-robot-v1_10.fsp.game_seq.diag,ENV_SEQ,1661,2187,1.316677,1.195321,2187,1.000000,0.000000,2187,1.000000,3.300602
/tmp/exploration-robot-v1_150.fsp.game.diag,PLANT,45003,178809,3.973269,0.026418,178809,1.000000,0.000000,178809,1.000000,15.813631
/tmp/exploration-robot-v1_150.fsp.game_intrlvd.diag,ENV_INTRLVD,402621,536427,1.332337,1.272444,536427,1.000000,0.000000,536427,1.000000,3.435197
/tmp/exploration-robot-v1_150.fsp.game_seq.diag,ENV_SEQ,402621,536427,1.332337,1.272444,536427,1.000000,0.000000,536427,1.000000,3.435197
/tmp/exploration-robot-v1_200.fsp.game.diag,PLANT,80003,318409,3.979963,0.019861,318409,1.000000,0.000000,318409,1.000000,15.860166
/tmp/exploration-robot-v1_200.fsp.game_intrlvd.diag,ENV_INTRLVD,716821,955227,1.332588,1.273780,955227,1.000000,0.000000,955227,1.000000,3.437514
/tmp/exploration-robot-v1_200.fsp.game_seq.diag,ENV_SEQ,716821,955227,1.332588,1.273780,955227,1.000000,0.000000,955227,1.000000,3.437514
/tmp/exploration-robot-v1_20.fsp.game.diag,PLANT,803,3049,3.797011,0.184430,3049,1.000000,0.000000,3049,1.000000,14.619701
/tmp/exploration-robot-v1_20.fsp.game_intrlvd.diag,ENV_INTRLVD,6901,9147,1.325460,1.237125,9147,1.000000,0.000000,9147,1.000000,3.373768
/tmp/exploration-robot-v1_20.fsp.game_seq.diag,ENV_SEQ,6901,9147,1.325460,1.237125,9147,1.000000,0.000000,9147,1.000000,3.373768
/tmp/exploration-robot-v1_250.fsp.game.diag,PLANT,125003,498009,3.983976,0.015911,498009,1.000000,0.000000,498009,1.000000,15.888106
/tmp/exploration-robot-v1_250.fsp.game_intrlvd.diag,ENV_INTRLVD,1121021,1494027,1.332738,1.274581,1494027,1.000000,0.000000,1494027,1.000000,3.438903
/tmp/exploration-robot-v1_250.fsp.game_seq.diag,ENV_SEQ,1121021,1494027,1.332738,1.274581,1494027,1.000000,0.000000,1494027,1.000000,3.438903
/tmp/exploration-robot-v1_30.fsp.game.diag,PLANT,1803,6969,3.865225,0.126665,6969,1.000000,0.000000,6969,1.000000,15.074917
/tmp/exploration-robot-v1_30.fsp.game_intrlvd.diag,ENV_INTRLVD,15741,20907,1.328188,1.250832,20907,1.000000,0.000000,20907,1.000000,3.397649
/tmp/exploration-robot-v1_30.fsp.game_seq.diag,ENV_SEQ,15741,20907,1.328188,1.250832,20907,1.000000,0.000000,20907,1.000000,3.397649
/tmp/exploration-robot-v1_40.fsp.game.diag,PLANT,3203,12489,3.899157,0.096323,12489,1.000000,0.000000,12489,1.000000,15.304497
/tmp/exploration-robot-v1_40.fsp.game_intrlvd.diag,ENV_INTRLVD,28181,37467,1.329513,1.257631,37467,1.000000,0.000000,37467,1.000000,3.409475
/tmp/exploration-robot-v1_40.fsp.game_seq.diag,ENV_SEQ,28181,37467,1.329513,1.257631,37467,1.000000,0.000000,37467,1.000000,3.409475
/tmp/exploration-robot-v1_50.fsp.game.diag,PLANT,5003,19609,3.919448,0.077676,19609,1.000000,0.000000,19609,1.000000,15.442823
/tmp/exploration-robot-v1_50.fsp.game_intrlvd.diag,ENV_INTRLVD,44221,58827,1.330296,1.261691,58827,1.000000,0.000000,58827,1.000000,3.416531
/tmp/exploration-robot-v1_50.fsp.game_seq.diag,ENV_SEQ,44221,58827,1.330296,1.261691,58827,1.000000,0.000000,58827,1.000000,3.416531
/tmp/genbuf_1_sndrs_no_automaton.fsp.game.diag,ENV,48,142,2.958333,3.232270,409,2.880282,3.283438,72,0.507042,2.280842
/tmp/genbuf_1_sndrs_no_automaton.fsp.game_intrlvd.diag,ENV_INTRLVD,683,1269,1.857980,1.746962,1269,1.000000,0.000000,771,0.607565,1.147901
/tmp/genbuf_1_sndrs_no_automaton.fsp.game_seq.diag,ENV_SEQ,436,530,1.215596,0.797809,530,1.000000,0.000000,460,0.867925,1.162417
/tmp/genbuf_2_sndrs_no_automaton.fsp.game.diag,ENV,1925,22673,11.778182,97.028214,123897,5.464517,4.994871,6033,0.266087,14.234892
/tmp/genbuf_2_sndrs_no_automaton.fsp.game_intrlvd.diag,ENV_INTRLVD,295667,941531,3.184430,3.331646,941531,1.000000,0.000000,316215,0.335852,0.874036
/tmp/genbuf_2_sndrs_no_automaton.fsp.game_seq.diag,ENV_SEQ,70481,91229,1.294377,0.895952,91229,1.000000,0.000000,74589,0.817602,0.858198
/tmp/genbuf_3_sndrs_no_automaton.fsp.game.diag,ENV,15029,470313,31.293699,1124.563190,3044489,6.473325,5.423833,58337,0.124039,25.138903
/tmp/genbuf_3_sndrs_no_automaton.fsp.game_seq.diag,ENV_SEQ,1284365,1739649,1.354482,1.088016,1739649,1.000000,0.000000,1327673,0.763184,0.673331
/tmp/genbuf_4_sndrs_no_automaton.fsp.game.diag,ENV,63361,3240641,51.145672,3094.659650,23260609,7.177780,5.764732,308673,0.095251,44.070979
/tmp/genbuf_4_sndrs_no_automaton.fsp.game_seq.diag,ENV_SEQ,9627107,12804387,1.330035,1.031903,12804387,1.000000,0.000000,9872419,0.771019,0.570795
/tmp/lift_controller_10.fsp.game.diag,ENV,10244,1644160,160.499802,46106.989066,8123624,4.940896,3.120563,590491,0.359144,9492.771008
/tmp/lift_controller_10.fsp.game_seq.diag,ENV_SEQ,3346349,4980265,1.488268,1.444042,4980265,1.000000,0.000000,3926596,0.788431,1.259989
/tmp/lift_controller_2.fsp.game.diag,ENV,9,33,3.666667,4.000000,61,1.848485,1.445076,19,0.575758,4.494146
/tmp/lift_controller_2.fsp.game_intrlvd.diag,ENV_INTRLVD,87,129,1.482759,1.308092,129,1.000000,0.000000,101,0.782946,1.357568
/tmp/lift_controller_2.fsp.game_seq.diag,ENV_SEQ,72,96,1.333333,1.002433,96,1.000000,0.000000,82,0.854167,1.480891
/tmp/lift_controller_4.fsp.game.diag,ENV,65,763,11.738461,61.977404,2131,2.792923,1.820580,325,0.425950,35.188651
/tmp/lift_controller_4.fsp.game_intrlvd.diag,ENV_INTRLVD,1943,3359,1.728770,1.829171,3359,1.000000,0.000000,2483,0.739208,1.654847
/tmp/lift_controller_4.fsp.game_seq.diag,ENV_SEQ,1592,2290,1.438442,1.246154,2290,1.000000,0.000000,1852,0.808734,1.290371
/tmp/lift_controller_6.fsp.game.diag,ENV,385,11345,29.467533,674.437094,40197,3.543147,2.234937,4375,0.385632,235.672394
/tmp/lift_controller_6.fsp.game_intrlvd.diag,ENV_INTRLVD,28459,53577,1.882603,2.261362,53577,1.000000,0.000000,39637,0.739814,2.191018
/tmp/lift_controller_6.fsp.game_seq.diag,ENV_SEQ,23356,34316,1.469258,1.353607,34316,1.000000,0.000000,27346,0.796888,1.264163
/tmp/lift_controller_8.fsp.game.diag,ENV,2049,142551,69.571007,5927.073202,605983,4.250991,2.674337,52489,0.368212,1507.266065
/tmp/lift_controller_8.fsp.game_seq.diag,ENV_SEQ,291408,431910,1.482149,1.411311,431910,1.000000,0.000000,341848,0.791480,1.260297
