step,time,size
1,0.265603,28346
2,0.167923,20056
3,0.039141,13571
4,0.203919,13571
5,0.257128,10361
6,0.295778,10361
7,0.312605,8973
8,0.294483,7224
9,0.317167,6380
10,0.304876,6380
11,0.309011,5784
12,0.273351,4577
13,0.29983,4153
14,0.531049,4153
15,0.340525,3882
16,0.2847,3345
17,0.354806,3131
18,0.290805,3131
19,0.308831,3005
20,0.329199,2902
21,0.296,2795
22,0.277072,2795
23,0.334113,2730
24,0.294995,722
25,0.373727,508
26,0.307366,508
27,0.354018,460
28,0.664837,438
29,0.401355,394
30,0.31383,394
31,0.399518,358
32,0.371826,341
33,0.337999,339
34,0.331596,339
35,0.381444,325
36,0.283064,320
37,0.253204,208
38,0.285877,194
39,0.210802,194
40,0.245361,189
41,0.255677,183
42,0.020546 ,8 
