step,time,size
1,0.315682,14559
2,0.783645,14559
3,1.164043,13046
4,1.104773,11365
5,0.720641,11365
6,0.92671,9815
7,0.872539,8092
8,0.561859,8092
9,0.584505,7068
10,0.440293,6146
11,0.250279,6146
12,0.629211,6146
13,0.505101,5104
14,0.4754,5054
15,0.883581,4555
16,0.680766,4555
17,0.517831,4342
18,0.486398,4342
19,0.69138,4331
20,0.744085,4331
21,0.794085,3948
22,0.557173,3948
23,0.459372,3745
24,0.412525,3745
25,0.5243,3745
26,0.6158,3717
27,0.591636,2950
28,0.450987,2950
29,0.388784,2904
30,0.387032,2904
31,0.467729,2894
32,0.370283,2888
33,0.255703,2455
34,0.253332,2414
35,0.173045,2411
36,0.18917,2167
37,0.11884,2167
38,0.146189,1938
39,0.121592 ,1294 
