step,time,size
1,70.813935,57533
2,0.585649,57533
3,1.636457,57533
4,65.262828,53187
5,58.813145,48572
6,3.14826,48572
7,82.226844,46371
8,91.168256,42726
9,43.801655,42726
10,36.240204,41276
11,28.666878,39307
12,43.668423,38220
13,60.207849,37276
14,55.64574,35559
15,49.218176,34389
16,50.60136,32626
17,59.226687,30805
18,58.281629,28129
19,29.222168,28129
20,29.13415,27563
21,27.596999,26758
22,28.038106,25941
23,27.161337,25219
24,25.506359,22972
25,25.132594,22066
26,24.894731,21199
27,28.218406,20303
28,24.202921,19706
29,4.790821,19706
30,21.940005,19583
31,21.370776,18899
32,19.408862,18518
33,21.758955,18125
34,13.650793,17181
35,10.659948,16618
36,12.163551,16099
37,11.239899,15450
38,11.878211,14887
39,12.623152,14348
40,5.479402,14348
41,17.203432,14240
42,16.918553,14132
43,16.545809,13868
44,16.605011,13763
45,15.687278,13584
46,15.504173,13414
47,17.314995,13112
48,16.016075,12867
49,16.230266,12673
50,15.333755,12563
51,6.910977,12563
52,14.249876,11982
53,14.578298,11928
54,15.246465,11778
55,15.085194,11724
56,15.228366,11667
57,14.689892,11392
58,16.844714,11312
59,17.112738,11170
60,17.648267,11085
61,16.389538,10571
62,12.842742,10261
63,17.35075,10241
64,9.806436,10241
65,13.532465,10121
66,14.702158,10074
67,12.54782,10030
68,13.063068,9659
69,14.423124,9614
70,12.812182,9577
71,14.003496,9550
72,13.549802,9526
73,12.707086,9496
74,13.935766,9466
75,14.007673,9423
76,14.400496,9380
77,11.093541,9331
78,9.327605,9244
79,8.642961,9199
80,8.076982,9154
81,9.079525,9109
82,8.92096,8729
83,8.585692,8699
84,8.500201,8337
85,8.230288,8312
86,8.304357,8312
87,7.942772,8312
88,8.206289,8236
89,8.129738,8221
90,8.065762,8155
91,8.195829,8102
92,7.528134,8052
93,8.240154,7991
94,8.449082,7808
95,8.395085,7697
96,6.563062,7652
97,5.41575,7652
98,7.337443,7571
99,7.246864,7540
100,7.052927,7454
101,6.935526,7325
102,6.194998,7305
103,6.66088,7156
104,6.620531,7136
105,6.440914,7121
106,6.298323,7109
107,6.134635,6908
108,6.238477,6896
109,6.310626,6855
110,6.193948,6713
111,6.205098,6692
112,6.191696,6667
113,6.386514,6647
114,6.269149,6627
115,6.212396,6588
116,6.184106,6573
117,6.103561,6558
118,6.066814,6372
119,6.087735,6265
120,5.890313,6164
121,5.832424,6033
122,5.623372,6008
123,5.592084,6003
124,5.524347,5967
125,5.504595,5930
126,5.174205,5793
127,5.528653,5774
128,5.468736,5754
129,5.39212,5716
130,5.582874,5688
131,5.060452,5657
132,4.600519,5647
133,5.279986,5542
134,5.460809,5282
135,4.926515,5244
136,4.298495,5212
137,3.439963,5200
138,3.687912,5200
139,4.518926,5162
140,4.760979,5148
141,4.481894,5093
142,4.445172,5087
143,4.730994,5071
144,4.311813,5059
145,4.145207,5018
146,4.205121,5012
147,4.392402,5002
148,4.205114,4956
149,4.112315,4934
150,4.098443,4918
151,3.948541,4913
152,3.98105,4783
153,3.758479,4748
154,3.596747,4712
155,3.423627,4467
156,3.789016,3965
157,4.08597,3835
158,5.667978,3797
159,5.479062,3787
160,5.302155,3782
161,4.218867,3757
162,5.092014,3739
163,4.591972,3284
164,4.451388,3275
165,4.682463,3241
166,3.886605,3197
167,3.610948,3180
168,3.984482,3106
169,3.096261,3096
170,3.56583,2737
171,3.345763,2713
172,3.9894,2674
173,4.560505,2643
174,3.324521,2557
175,1.802139,2557
176,3.16355,2548
177,3.241305,2548
178,3.05723,2545
179,2.875964,2545
180,2.752896,2545
181,2.708683,2542
182,2.54003,2542
183,2.397338,2542
184,2.469667,2519
185,2.258547,2519
186,2.157859,2384
187,1.975392,2384
188,1.903405,2247
189,1.690119,2247
190,1.807113,2174
191,1.657978,2157
192,1.472251,2118
193,1.262385,2118
194,1.370083,2109
195,1.174476,2084
196,0.951421,2084
197,0.886051 ,1984 
