name,realizable,ltl_model_build_time,model_build_time,composition_time,synthesis_time,diagnosis_time,alphabet_size,guarantees_count,assumptions_count,plant_states,plant_transitions,plant_controllable_transitions,plant_controllable_options,minimization_states,minimization_transitions,minimization_controllable_transitions,minimization_controllable_options,search_method,diagnosis_steps
Lift.Controller.2.(missing.liveness),false,0.000770,0.000227,0.000000,0.000000,0.010398,8,4,1,9,33,4,19,9,2,1,2,DD,5
Lift.Controller.4.(missing.liveness),false,0.001370,0.000407,0.000000,0.000000,0.037884,16,6,1,65,763,32,325,65,2,1,2,DD,9
Lift.Controller.6.(missing.liveness),false,0.011673,0.003261,0.000000,0.000000,0.364901,24,8,1,385,11345,192,4375,385,2,1,2,DD,13
Lift.Controller.8.(missing.liveness),false,0.139453,0.048324,0.000000,0.000000,12.350199,32,10,1,2049,142551,1024,52489,2049,2,1,2,DD,16
Lift.Controller.2.(removed.safety),false,0.000845,0.000247,0.000000,0.000000,0.009300,8,1,1,9,33,8,25,9,3,1,3,DD,6
Lift.Controller.4.(removed.safety),false,0.001254,0.000381,0.000000,0.000000,0.120881,16,5,1,65,871,64,433,65,3,1,3,DD,18
Lift.Controller.6.(removed.safety),false,0.012974,0.004204,0.000000,0.000000,0.340782,24,7,1,385,13775,384,5833,385,3,1,3,DD,14
Lift.Controller.8.(removed.safety),false,0.156065,0.061001,0.000000,0.000000,8.646147,32,9,1,2049,177543,2048,69985,2049,3,1,3,DD,30
Collector.1.(missing.liveness),false,0.000801,0.000236,0.000000,0.000000,0.002907,6,1,1,7,23,6,12,7,2,2,2,DD,4
Collector.2.(missing.liveness),false,0.000623,0.000124,0.000000,0.000000,0.041807,10,1,1,21,135,14,74,21,4,2,4,DD,18
Collector.3.(missing.liveness),false,0.000902,0.000327,0.000000,0.000000,0.164449,14,1,2,73,881,36,540,73,5,1,5,DD,36
Collector.4.(missing.liveness),false,0.003518,0.001679,0.000000,0.000000,0.411977,18,1,3,273,6099,98,4178,273,5,1,5,DD,47
Collector.5.(missing.liveness),false,0.021850,0.011890,0.000000,0.000000,2.293301,24,1,4,1057,43913,276,33012,1057,5,1,5,DD,56
Collector.1.(removed.safety),false,0.000790,0.000235,0.000000,0.000000,0.003937,6,1,1,7,29,7,20,7,3,1,3,DD,5
Collector.2.(removed.safety),false,0.000683,0.000150,0.000000,0.000000,0.029943,10,1,2,21,177,17,132,21,15,1,12,DD,16
Collector.3.(removed.safety),false,0.001031,0.000401,0.000000,0.000000,0.090488,14,1,3,73,1187,45,944,73,15,1,12,DD,26
Collector.4.(removed.safety),false,0.004580,0.002261,0.000000,0.000000,0.431794,18,1,4,273,8397,125,7020,273,15,1,12,DD,25
Collector.5.(removed.safety),false,0.029445,0.015890,0.000000,0.000000,4.700275,22,1,5,1057,61547,357,53528,1057,15,1,12,DD,36
Exploration.Robot.100.(missing.liveness),false,0.000000,0.314442,0.000000,0.000000,0.926383,9,2,1,20003,79209,0,79209,20003,2,0,2,DD,17
Exploration.Robot.200.(missing.liveness),false,0.000000,4.328777,0.000000,0.000000,4.320567,9,2,1,80003,318409,0,318409,80003,2,0,2,DD,19
Exploration.Robot.300.(missing.liveness),false,0.000000,19.188397,0.000000,0.000000,11.087434,9,2,1,180003,717609,0,717609,180003,2,0,2,DD,20
Exploration.Robot.400.(missing.liveness),false,0.000000,56.239038,0.000000,0.000000,26.541452,9,2,1,320003,1276809,0,1276809,320003,2,0,2,DD,21
Exploration.Robot.500.(missing.liveness),false,0.000000,132.518077,0.000000,0.000000,41.029144,9,2,1,500003,1996009,0,1996009,500003,4,0,4,DD,21
Exploration.Robot.600.(missing.liveness),false,0.000001,262.644280,0.000000,0.000000,105.303513,9,2,1,720007,2875213,0,2875213,720007,2,0,2,DD,22
Exploration.Robot.100.(removed.safety),false,0.000000,0.297057,0.000000,0.000000,0.833952,9,2,1,20004,79217,0,79217,20004,4,0,4,DD,17
Exploration.Robot.200.(removed.safety),false,0.000000,4.137486,0.000000,0.000000,4.035959,9,2,1,80004,318417,0,318417,80004,4,0,4,DD,19
Exploration.Robot.300.(removed.safety),false,0.000000,19.221870,0.000000,0.000000,9.750480,9,2,1,180004,717617,0,717617,180004,4,0,4,DD,20
Exploration.Robot.400.(removed.safety),false,0.000001,56.312353,0.000000,0.000000,22.031529,9,2,1,320004,1276817,0,1276817,320004,4,0,4,DD,21
Exploration.Robot.500.(removed.safety),false,0.000000,130.405662,0.000000,0.000000,32.614235,9,2,1,500004,1996017,0,1996017,500004,4,0,4,DD,21
Exploration.Robot.600.(removed.safety),false,0.000000,260.297067,0.000000,0.000000,71.495464,9,2,1,720004,2875217,0,2875217,720004,4,0,4,DD,22
AHB.Scheduler.2.(missing.assumption),false,0.001213,0.000420,0.000000,0.000000,0.147988,12,2,1,57,805,19,441,57,11,0,8,DD,32
AHB.Scheduler.3.(missing.assumption),false,0.005151,0.002202,0.000000,0.000000,0.686414,18,3,1,273,8545,30,4129,273,12,0,9,DD,45
AHB.Scheduler.4.(missing.assumption),false,0.074955,0.039761,0.000000,0.000000,5.067610,22,4,1,1665,143425,57,51713,1665,12,1,9,DD,47
AHB.Scheduler.2.(removed.safety),false,0.002599,0.000927,0.000000,0.000000,0.175798,12,2,1,45,547,15,333,45,19,1,14,DD,37
AHB.Scheduler.3.(removed.safety),false,0.006699,0.002917,0.000000,0.000000,0.834712,18,3,1,273,8545,30,4129,273,35,1,24,DD,48
AHB.Scheduler.4.(removed.safety),false,0.047809,0.025354,0.000000,0.000000,10.369541,22,4,1,1281,89089,53,38017,1281,32,0,23,DD,88
Genbuf.1.(missing.assumption),false,0.006319,0.000269,0.000000,0.000000,0.087791,22,3,1,48,142,12,72,48,36,5,18,DD,15
Genbuf.2.(missing.assumption),false,0.419672,0.007542,0.000000,0.000000,37.039743,38,4,1,1925,22673,112,6033,1925,139,12,41,DD,146
Genbuf.3.(missing.assumption),false,4.130845,0.192691,0.000000,0.000000,1679.145678,46,5,1,15029,470313,704,58337,15029,781,48,104,DD,275
Genbuf.1.(removed.safety),false,0.007847,0.000454,0.000000,0.000000,0.122719,22,3,2,84,763,24,413,84,70,0,38,DD,19
Genbuf.2.(removed.safety),false,0.489859,0.034670,0.000000,0.000000,1220.961853,38,4,4,3349,114433,264,28417,3349,2369,0,539,DD,362
cat.mouse.1.missing.assumption,false,0.000000,0.002556,0.000000,0.000000,0.098063,7,2,1,31,64,25,53,31,16,9,12,DD,22
cat.mouse.2.missing.assumption,false,0.000000,0.056283,0.000000,0.000000,86.297078,22,4,2,6767,15026,5526,12613,6767,292,173,209,DD,213
airport.tower.2.1.missing.assumption,false,0.000000,0.001297,0.000000,0.000000,0.005907,15,1,2,83,66,8,66,83,1,0,1,DD,6
airport.tower.2.2.missing.assumption,false,0.000000,0.002349,0.000000,0.000000,0.005502,17,1,2,111,74,16,70,111,1,0,1,DD,6
airport.tower.2.3.missing.assumption,false,0.000000,0.003384,0.000000,0.000000,0.005248,19,1,2,143,82,24,74,143,1,0,1,DD,6
airport.tower.3.1.missing.assumption,false,0.000000,0.002926,0.000000,0.000000,0.012411,21,1,3,508,212,12,212,508,1,0,1,DD,8
airport.tower.3.2.missing.assumption,false,0.000000,0.026135,0.000000,0.000000,0.016236,24,1,3,798,224,24,218,798,1,0,1,DD,8
airport.tower.3.3.missing.assumption,false,0.000000,0.013289,0.000000,0.000000,0.019577,27,1,3,1178,236,36,224,1178,1,0,1,DD,8
airport.tower.4.1.missing.assumption,false,0.000000,0.011133,0.000000,0.000000,0.056612,27,1,4,2965,658,16,658,2965,1,0,1,DD,10
airport.tower.4.2.missing.assumption,false,0.000001,0.044121,0.000000,0.000000,0.106782,31,1,4,5549,674,32,666,5549,2,0,2,DD,10
airport.tower.4.3.missing.assumption,false,0.000000,0.150775,0.000000,0.000000,0.294650,35,1,4,9469,690,48,674,9469,1,0,1,DD,10
airport.tower.5.1.missing.assumption,false,0.000000,0.075953,0.000000,0.000000,0.575601,33,1,5,16602,1962,20,1962,16602,1,0,1,DD,12
airport.tower.5.2.missing.assumption,false,0.000000,0.427961,0.000000,0.000000,1.157763,38,1,5,37404,1982,40,1972,37404,1,0,1,DD,11
airport.tower.5.3.missing.assumption,false,0.000000,2.310807,0.000000,0.000000,2.401332,43,1,5,74316,2002,60,1982,74316,1,0,1,DD,11
airport.tower.6.1.missing.assumption,false,0.000001,0.904294,0.000000,0.000000,5.121148,39,1,6,89911,5618,24,5618,89911,1,0,1,DD,13
airport.tower.6.2.missing.assumption,false,0.000000,7.369078,0.000000,0.000000,19.908485,45,1,6,245483,5642,48,5630,245483,1,0,1,DD,13
airport.tower.6.3.missing.assumption,false,0.000000,33.533135,0.000000,0.000000,50.656808,51,1,6,570859,5666,72,5642,570859,1,0,1,DD,13
bidding.workflow.1.1.missing.assumption,false,0.000000,0.000606,0.000000,0.000000,0.006014,7,2,1,22,38,12,34,22,9,4,8,DD,6
bidding.workflow.2.1.missing.assumption,false,0.000000,0.000914,0.000000,0.000000,0.076868,10,2,2,163,222,36,214,163,35,10,33,DD,24
bidding.workflow.3.1.missing.assumption,false,0.000000,0.001716,0.000000,0.000000,0.920215,13,2,3,771,862,124,806,771,168,43,150,DD,55
bidding.workflow.4.1.missing.assumption,false,0.000001,0.005864,0.000000,0.000000,0.268185,16,2,4,2811,2326,336,2138,2811,477,119,418,DD,11
bidding.workflow.5.1.missing.assumption,false,0.000000,0.022517,0.000000,0.000000,1.931477,19,2,5,9939,5878,864,5322,9939,1306,322,1117,DD,13
transfer.line.2.1.missing.assumption,false,0.000000,0.001220,0.000000,0.000000,0.077819,12,1,1,212,748,226,680,212,23,13,19,DD,38
transfer.line.2.2.missing.assumption,false,0.000000,0.002328,0.000000,0.000000,0.287865,12,1,1,640,2562,912,2222,640,75,40,59,DD,62
transfer.line.3.1.missing.assumption,false,0.000000,0.008853,0.000000,0.000000,0.474149,15,1,1,1292,6120,1798,5392,1292,29,15,25,DD,57
transfer.line.3.2.missing.assumption,false,0.000000,0.042966,0.000000,0.000000,2.999294,15,1,1,5824,32038,10848,26666,5824,179,85,136,DD,99
transfer.line.4.1.missing.assumption,false,0.000000,0.146595,0.000000,0.000000,2.369767,18,1,1,7772,46688,13390,40176,7772,61,29,52,DD,82
transfer.line.4.2.missing.assumption,false,0.000000,2.140896,0.000000,0.000000,20.875349,18,1,1,52478,369300,121005,299025,52478,12,6,12,DD,79
travel.agency.2.1.missing.assumption,false,0.000000,0.001726,0.000000,0.000000,0.003232,30,1,1,200,220,116,136,200,2,0,2,DD,5
travel.agency.2.2.missing.assumption,false,0.000001,0.001736,0.000000,0.000000,0.003953,32,1,1,232,238,116,154,232,1,0,1,DD,6
travel.agency.2.3.missing.assumption,false,0.000000,0.001925,0.000000,0.000000,0.004500,34,1,1,264,256,116,172,264,1,0,1,DD,6
travel.agency.3.1.missing.assumption,false,0.000000,0.012641,0.000000,0.000000,0.012225,43,1,1,1390,1044,630,546,1390,2,0,2,DD,6
travel.agency.3.2.missing.assumption,false,0.000000,0.013811,0.000000,0.000000,0.016725,46,1,1,1618,1086,630,588,1618,1,0,1,DD,7
travel.agency.3.3.missing.assumption,false,0.000000,0.014534,0.000000,0.000000,0.017425,49,1,1,1846,1128,630,630,1846,1,0,1,DD,7
travel.agency.4.1.missing.assumption,false,0.000000,0.287567,0.000000,0.000000,0.086457,56,1,1,9720,5044,3206,2378,9720,2,0,2,DD,7
travel.agency.4.2.missing.assumption,false,0.000000,0.307192,0.000000,0.000000,0.134718,60,1,1,11320,5134,3206,2468,11320,1,0,1,DD,8
travel.agency.4.3.missing.assumption,false,0.000000,0.334760,0.000000,0.000000,0.119349,64,1,1,12920,5224,3206,2558,12920,1,0,1,DD,8
travel.agency.5.1.missing.assumption,false,0.000000,8.799912,0.000000,0.000000,0.733155,69,1,1,68030,24116,15590,10714,68030,2,0,2,DD,8
travel.agency.5.2.missing.assumption,false,0.000000,9.275578,0.000000,0.000000,0.923666,74,1,1,79234,24302,15590,10900,79234,1,0,1,DD,9
travel.agency.5.3.missing.assumption,false,0.000000,9.735561,0.000000,0.000000,0.999798,79,1,1,90438,24488,15590,11086,90438,1,0,1,DD,9
dining.philosophers.2.1.missing.assumption,false,0.000000,0.001487,0.000000,0.000000,0.003241,15,1,0,200,120,36,102,200,101,36,83,DD,5
dining.philosophers.2.2.missing.assumption,false,0.000001,0.001594,0.000000,0.000000,0.003604,15,1,0,272,144,36,126,272,125,36,107,DD,5
dining.philosophers.2.3.missing.assumption,false,0.000000,0.001817,0.000000,0.000000,0.003840,15,1,0,360,168,36,150,360,149,36,131,DD,5
dining.philosophers.2.4.missing.assumption,false,0.000000,0.001763,0.000000,0.000000,0.003727,15,1,0,464,192,36,174,464,173,36,155,DD,5
dining.philosophers.3.1.missing.assumption,false,0.000000,1.092737,0.000000,0.000000,0.351132,28,1,0,35771,4670,1485,3472,35771,1590,745,996,DD,11
dining.philosophers.3.2.missing.assumption,false,0.000000,2.173232,0.000000,0.000000,0.508384,28,1,0,54710,5291,1485,4093,54710,559,242,365,DD,11
dining.philosophers.3.3.missing.assumption,false,0.000000,3.923342,0.000000,0.000000,0.772077,28,1,0,79417,6227,1485,5029,79417,608,242,414,DD,12
dining.philosophers.3.4.missing.assumption,false,0.000000,6.634470,0.000000,0.000000,0.942558,28,1,0,110652,7163,1485,5965,110652,657,242,463,DD,12
cat.mouse.1.removed.safety,false,0.000000,0.001355,0.000000,0.000000,0.004946,7,2,1,10,17,5,17,10,4,2,4,DD,5
cat.mouse.2.removed.safety,false,0.000000,0.008819,0.000000,0.000000,2.142771,22,4,2,981,1903,559,1814,981,108,56,91,DD,72
airport.tower.2.1.removed.safety,false,0.000000,0.000820,0.000000,0.000000,0.001507,15,1,1,24,20,4,20,24,5,2,5,DD,4
airport.tower.2.2.removed.safety,false,0.000000,0.001450,0.000000,0.000000,0.001395,17,1,1,35,24,8,22,35,7,4,6,DD,4
airport.tower.2.3.removed.safety,false,0.000000,0.002413,0.000000,0.000000,0.001579,19,1,1,48,28,12,24,48,9,6,7,DD,4
airport.tower.3.1.removed.safety,false,0.000000,0.001747,0.000000,0.000000,0.002299,21,1,1,104,57,6,57,104,6,2,6,DD,6
airport.tower.3.2.removed.safety,false,0.000000,0.004075,0.000000,0.000000,0.188641,24,1,1,192,63,12,60,192,3,0,3,DD,6
airport.tower.3.3.removed.safety,false,0.000001,0.023688,0.000000,0.000000,0.006839,27,1,1,316,69,18,63,316,10,6,8,DD,6
airport.tower.4.1.removed.safety,false,0.000000,0.008924,0.000000,0.000000,0.005689,27,1,1,400,156,8,156,400,4,0,4,DD,8
airport.tower.4.2.removed.safety,false,0.000000,0.026691,0.000000,0.000000,0.008973,31,1,1,981,164,16,160,981,9,4,8,DD,8
airport.tower.4.3.removed.safety,false,0.000000,0.105131,0.000000,0.000000,0.014637,35,1,1,1984,172,24,164,1984,11,6,9,DD,8
airport.tower.5.1.removed.safety,false,0.000001,0.030942,0.000000,0.000000,0.013645,33,1,1,1392,415,10,415,1392,8,2,8,DD,9
airport.tower.5.2.removed.safety,false,0.000000,0.237768,0.000000,0.000000,0.045852,38,1,1,4698,425,20,420,4698,10,4,9,DD,9
airport.tower.5.3.removed.safety,false,0.000000,1.576910,0.000000,0.000000,0.102614,43,1,1,11904,435,30,425,11904,5,0,5,DD,9
airport.tower.6.1.removed.safety,false,0.000001,0.202236,0.000000,0.000000,0.046653,39,1,1,4480,1074,12,1074,4480,9,2,9,DD,11
airport.tower.6.2.removed.safety,false,0.000000,2.639249,0.000000,0.000000,0.227209,45,1,1,21303,1086,24,1080,21303,11,4,10,DD,11
airport.tower.6.3.removed.safety,false,0.000000,23.270285,0.000000,0.000000,0.912761,51,1,1,68608,1098,36,1086,68608,6,0,6,DD,11
bidding.workflow.1.1.removed.safety,false,0.000000,0.000545,0.000000,0.000000,0.002354,7,1,1,10,17,4,16,10,6,2,6,DD,4
bidding.workflow.2.1.removed.safety,false,0.000001,0.000766,0.000000,0.000000,0.019263,10,1,2,41,55,8,53,41,16,4,15,DD,13
bidding.workflow.3.1.removed.safety,false,0.000000,0.001156,0.000000,0.000000,0.077643,13,1,3,193,214,29,200,193,76,18,68,DD,27
bidding.workflow.4.1.removed.safety,false,0.000001,0.003142,0.000000,0.000000,0.019312,16,1,4,703,580,82,533,703,216,52,188,DD,9
bidding.workflow.5.1.removed.safety,false,0.000000,0.012696,0.000000,0.000000,0.049971,19,1,5,2485,1468,214,1329,2485,560,136,476,DD,11
transfer.line.2.1.removed.safety,false,0.000001,0.001562,0.000000,0.000000,0.015517,12,1,2,507,1872,459,1758,507,1,0,1,DD,12
transfer.line.2.2.removed.safety,false,0.000000,0.003223,0.000000,0.000000,0.031937,12,1,2,1184,4853,1425,4413,1184,1,0,1,DD,13
transfer.line.3.1.removed.safety,false,0.000000,0.017517,0.000000,0.000000,0.187692,15,1,3,5723,28225,7082,25622,5723,1,0,1,DD,16
transfer.line.3.2.removed.safety,false,0.000000,0.082217,0.000000,0.000000,0.790119,15,1,3,20176,113282,33097,98451,20176,1,0,1,DD,18
transfer.line.4.1.removed.safety,false,0.000000,0.412191,0.000000,0.000000,5.116561,18,1,4,64193,399017,100180,353475,64193,2,0,2,DD,19
transfer.line.4.2.removed.safety,false,0.000000,8.926050,0.000000,0.000000,77.507921,18,1,4,344746,2471719,716556,2081546,344746,2,0,2,DD,22
